timestamp,GK,team1_name2,team1_name3,score1,GK,S1,S2,score2
2025-11-20T19:07:47.835000+00:00,shan,kami,E,0,pike,kaif,hawk,5
2025-11-20T19:12:03.504000+00:00,kami,neptune,E,2,pike,hawk,kaif,5
2025-11-21T17:33:31.701000+00:00,jibscar,popop,kami,5,gentle,bapsy,ema,4
2025-11-21T17:39:52.417000+00:00,jibscar,popop,ash,4,gentle,bapsy,ema,5
2025-11-21T17:44:55.282000+00:00,jib,ash,eri,5,kami,gentle,bapsy,2
2025-11-21T17:52:58.547000+00:00,jib,eri,popop,5,gentle,kami,bapsy,2
2025-11-21T18:01:08.475000+00:00,jib,popop,neptune,5,gentle,kami,bapsy,4
2025-11-21T18:09:20.151000+00:00,gentle,popop,neptune,5,kami,bapsy,ash,3
2025-11-21T18:15:10.004000+00:00,gentle,neptune,akil,5,kami,bapsy,ash,3
2025-11-21T18:33:07.064000+00:00,gentle,kami,ash,5,nep,popop,ema,4
2025-11-21T18:43:16.985000+00:00,pike,popop,ash,5,neptune,kami,bapsy,1
2025-11-21T18:49:37.601000+00:00,pike,popop,ash,5,kami,neptune,bapsy,4
2025-11-25T00:16:44.117000+00:00,kami,neptune,ash,2,pike,hawk,wraith,5
2025-11-26T05:39:38.261000+00:00,kami,herb,nae,5,kaif,danny,anon,0
2025-11-26T05:46:12.401000+00:00,kami,herb,nae,5,ella,danny,hawk,2
2025-11-26T05:52:17.481000+00:00,kaif,ema,anon,5,kami,danny,hawk,3
2025-11-26T05:57:28.206000+00:00,kaif,herb,anon,5,kami,danny,hawk,3
2025-11-26T06:02:56.305000+00:00,kaif,herb,anon,5,kami,danny,hawk,1
2025-11-26T06:06:14.117000+00:00,neptune,ema,anon,5,nae,hawk,danny,0
2025-11-26T17:00:09.742000+00:00,kami,ash,nae,5,neptune,kaif,rxob,4
2025-11-26T17:04:45+00:00,kami,ema,nae,1,neptune,kaif,rxob,5
2025-11-26T17:10:35.060000+00:00,kami,ema,nae,0,pike,rxob,kaif,5
2025-11-26T17:17:25.920000+00:00,rxob,ash,nae,3,pike,hawk,neptune,5
2025-11-26T17:22:10.450000+00:00,kami,ash,nae,3,pike,hawk,bapsy,5
2025-11-26T17:27:26.431000+00:00,gentle,nae,ash,2,bapsy,hawk,popop,5
2025-11-26T17:40:48.538000+00:00,kami,ash,gentle,3,bapsy,popop,hawk,5
2025-11-26T17:45:50.360000+00:00,kami,ash,gentle,3,bapsy,wraith,hawk,5
2025-11-26T17:50:48.819000+00:00,gentle,kami,popop,5,bapsy,nae,wraith,4
2025-11-26T18:04:11.814000+00:00,kami,gentle,hawk,5,bapsy,wraith,nae,2
2025-11-26T18:07:13.071000+00:00,kami,gentle,hawk,5,bapsy,wraith,ash,1
2025-11-26T18:11:56.941000+00:00,gentle,bapsy,hawk,3,kami,popop,ash,5
2025-11-26T18:21:38.516000+00:00,gentle,bapsy,wraith,5,kami,nae,ash,0
2025-11-26T18:26:36.513000+00:00,gentle,wraith,ash,5,kami,popop,nae,1
2025-11-27T19:03:59.063000+00:00,kami,aster,ash,4,neptune,wraith,E,5
2025-11-28T00:06:29.891000+00:00,kami,kaif,ash,5,gentle,hawk,aster,0
2025-11-28T00:16:01.437000+00:00,kami,ash,aster,2,jib,wraith,hawk,5
2025-11-28T00:22:54.910000+00:00,jib,kami,ash,1,gentle,aster,wraith,5
2025-11-28T00:34:30.653000+00:00,kami,ash,hawk,0,gentle,kaif,aster,5
2025-11-28T00:43:54.515000+00:00,jib,kami,hawk,1,gentle,kaif,aster,5
2025-11-28T00:52:14.175000+00:00,jib,wraith,kami,5,gentle,aster,jinsye,1
